ingredients_text,ingredients_tags,ingredients_analysis_tags,additives,additives_tags,additives_en,additives_n,allergens,allergens_en,nova_group,nutriscore_score,nutriscore_grade,serving_size,serving_quantity,energy-kcal_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,fiber_100g,salt_100g,sodium_100g
Allulose,en:allulose,"en:palm-oil-content-unknown,en:vegan,en:vegetarian",,,,0.0,,,,20.0,e,10 g,10.0,900.0,100.0,60.0,0.0,0.0,0.0,0.0,0.075,0.03
"salt, potato starch, palm oil, yeast extract, sugar, chicken fat, flavouring, chicken powder, onion powder, turmeric powder, celery seed, parsley, rice flour, black pepper, lemon juice powder","en:salt,en:potato-starch,en:starch,en:palm-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:palm-oil-and-fat,en:yeast-extract,en:yeast,en:sugar,en:added-sugar,en:disaccharide,en:chicken-fat,en:fat,en:animal-fat,en:poultry-fat,en:flavouring,en:chicken,en:poultry,en:onion,en:vegetable,en:root-vegetable,en:onion-family-vegetable,en:turmeric-powder,en:condiment,en:spice,en:turmeric,en:celery-seed,en:seed,en:stalk-vegetable,en:celery,en:parsley,en:herb,en:leaf-vegetable,en:rice-flour,en:flour,en:rice,en:black-pepper,en:pepper,en:lemon-juice,en:fruit,en:juice,en:fruit-juice","en:palm-oil,en:non-vegan,en:non-vegetarian",,,,0.0,,,4.0,,unknown,,,6.0,0.3,0.2,0.5,0.2,0.3,0.1,0.8,0.32
MAT TRACCIATO PERONI 10 INDISCUTIBILME 46,en:mat-tracciato-peroni-10-indiscutibilme-46,"en:palm-oil-content-unknown,en:vegan,en:vegetarian",,,,0.0,,,,,unknown,200mg,0.2,,,,,,,,,
Graines de chia,"en:chia-seed,en:seed,en:chia","en:palm-oil-free,en:vegan,en:vegetarian",,,,0.0,,,1.0,,unknown,1g,1.0,,,,,,,,,
"Oat Fiber, Tahl Gum (Acacia seyal), Apple Fiber, Guar Gum, Rice Bran Fiber, Beet Root Powder, Beet Juice Powder, Rhodiola Root Powder, Bacillus Coagulans, Natural Vanilla and Lemonade Flavors, Other Natural Flavors, Malic Acid, Stevia Leaf Extract, Fumaric Acid, Ginger Root Powder, Tartaric Acid","en:oat-fibre,en:cereal,en:fiber,en:oat,en:vegetable-fiber,en:tahl-gum,en:apple-fiber,en:e412,en:rice-bran-fiber,en:beetroot-powder,en:vegetable,en:root-vegetable,en:taproot-vegetable,en:beetroot,en:beetroot-juice,en:rhodiola-root-powder,en:bacillus-coagulans,en:ferment,en:microbial-culture,en:lactic-ferments,en:natural-vanilla,en:plant,en:vanilla,en:lemonade-flavors,en:with-other-natural-flavouring,en:flavouring,en:natural-flavouring,en:e296,en:e960,en:e297,en:ginger-powder,en:condiment,en:spice,en:ginger,en:e334,en:acacia-seyal","en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",,"en:e296,en:e297,en:e334,en:e412,en:e960","E296 - Malic acid,E297 - Fumaric acid,E334 - L(+)-tartaric acid,E412 - Guar gum,E960 - Steviol glycosides",5.0,,,4.0,,unknown,16g,16.0,188.0,,,68.8,12.5,,50.0,0.547,0.219
"Multi Collagen Complex, Hydrolyzed Bovine Collagen Peptides, Hydrolyzed Fish Collagen Peptides, Chicken Bone Broth Protein Concentrate, Eggshell Membrane Collagen, Hyaluronic Acid, Superfoods Blend (Millet, Amaranth, Apple Pulp, Kale, Quinoa, Buckwheat, Cinnamon, Chia Seed, Flax Seed, Barley Sprout, Millet Sprout, Garbanzo Bean Sprout, Alfalfa Sprout, Pumpkin Seed Sprout, Flax Oil, Sunflower Seed, Lentil Sprout, Adzuki Sprout, Broccoli Sprout, Sunflower Seed Sprout, Wheat Grass, Oat Grass, Spinach, Green Bell Pepper, Turmeric, Banana, Cranberry, Mango, Beet, Broccoli, Carrot, Spinach, Onion, Blueberry, Parsley, Raspberry, Strawberry, Asparagus, Celery, Cucumber, Chlorella, Spirulina, Graviola Leaf, Mangosteen, Noni Fruit, Acai, Pomegranate, Grape)","en:multi-collagen-complex,en:hydrolyzed-bovine-collagen-peptides,en:hydrolyzed-fish-collagen-peptides,en:chicken-bone-broth-protein-concentrate,en:eggshell-membrane-collagen,en:hyaluronic-acid,en:superfoods-blend,en:millet,en:cereal,en:e123,en:apple-pulp,en:fruit,en:malaceous-fruit,en:apple,en:kale,en:vegetable,en:brassica,en:cabbage,en:quinoa,en:plant,en:buckwheat,en:cinnamon,en:condiment,en:spice,en:chia-seed,en:seed,en:chia,en:flax-seed,en:flax,en:barley-sprout,en:millet-sprout,en:garbanzo-bean-sprout,en:alfalfa-sprout,en:pumpkin-seed-sprout,en:flax-oil,en:sunflower-seed,en:sunflower,en:lentil-sprout,en:adzuki-sprout,en:broccoli-sprout,en:sunflower-seed-sprout,en:wheat-grass,en:oat-grass,en:spinach,en:leaf-vegetable,en:green-bell-pepper,en:fruit-vegetable,en:bell-pepper,en:turmeric,en:banana,en:cranberry,en:mango,en:beetroot,en:root-vegetable,en:taproot-vegetable,en:broccoli,en:carrot,en:onion,en:onion-family-vegetable,en:blueberry,en:berries,en:parsley,en:herb,en:raspberry,en:strawberry,en:asparagus,en:shoot-vegetable,en:celery,en:stalk-vegetable,en:cucumber,en:chlorella,en:algae,en:spirulina,en:graviola-leaf,en:mangosteen,en:noni-fruit,en:acai-berry,en:pomegranate,en:grape","en:palm-oil-content-unknown,en:vegan,en:vegetarian",,,,0.0,,,3.0,-1.0,a,11g,11.0,350.0,0.0,0.0,0.0,9.09,90.9,0.0,0.0,0.0
"Glucose Syrup, Sugar, Water, Citric Acid, Pectin, Natural Flavors, Sodium Citrate, Coconut Oil, Carnauba Wax","en:glucose-syrup,en:added-sugar,en:monosaccharide,en:glucose,en:sugar,en:disaccharide,en:water,en:e330,en:e440a,en:natural-flavouring,en:flavouring,en:sodium-citrate,en:minerals,en:sodium,en:coconut-oil,en:oil-and-fat,en:vegetable-oil-and-fat,en:vegetable-oil,en:e903","en:palm-oil-free,en:vegan-status-unknown,en:vegetarian-status-unknown",,"en:e330,en:e331,en:e440,en:e903","E330 - Citric acid,E331 - Sodium citrates,E440 - Pectins,E903 - Carnauba wax",4.0,,,4.0,,unknown,2g,2.0,,,,,,,,,
,,,,,,,,,,,unknown,,,,,,,,,,,
"Nutrition Facts 20 servings per container Serving size (1.7oz.) in 16.9 fl.oz.water Amount per serving Calories 21 Total Carbohydrate 4.7mg Protein 0.6g Total Fat Og % Daily Value* 2% 1% 0% Saturated Fat Og Trans Fat Og Dietary Fiber Og 0% 0% 0% Sodium 6mg Percent Daily Values are based on a 2,000 calories diet. Nutrition Facts Valeur nutritive Per 250 ml brewed mate (from 60 g dry leaves) pour 250 ml de maté infusé (à partir de 60 g de feuilles sèches) Amount Teneur % Daily Value Calories/Calories Fat/Lipides Sodium/Sodium Carbohydrate/Glucides 6 g % valeur quotídien ne 0% 2% 25 Og 10 mg 0% 1g Sugars/Sucres Protein/Protéines. Source négligeable de lipides saturés, lipides trans, cholestérol, fibres, vitamine A, vitamine C, calcium et fer. gg 210","es:nutrition-facts-20-servings-per-container-serving-size,es:in-16-9-fl-oz-water-amount-per-serving-calories-21-total-carbohydrate-4-7mg-protein-0-6g-total-fat-og-daily-value-2-1-0-saturated-fat-og-trans-fat-og-dietary-fiber-og-0-0-0-sodium-6mg-percent-daily-values-are-based-on-a-2-000-calories-diet,es:nutrition-facts-valeur-nutritive-per-250-ml-brewed-mate,es:pour-250-ml-de-mate-infuse,es:amount-teneur-daily-value-calories,es:calories-fat,es:lipides-sodium,es:sodium-carbohydrate,es:glucides-6-g-valeur-quotidien-ne-0-2-25-og-10-mg-0-1g-sugars,es:sucres-protein,es:proteines,es:source-negligeable-de-lipides-satures,es:lipides-trans,es:cholesterol,es:fibres,es:vitamine-a,es:vitamine-c,es:calcium-et-fer,es:gg-210,es:1-7oz,es:from-60-g-dry-leaves,es:a-partir-de-60-g-de-feuilles-seches","en:palm-oil-content-unknown,en:vegan-status-unknown,en:vegetarian-status-unknown",,,,0.0,,,,,unknown,33g,33.0,576.0,42.4,7.58,33.3,0.0,21.2,6.06,0.455,0.182
,,,,,,,,,,,unknown,8.0g,8.0,30.0,,,5.0,,2.0,3.0,,
